"K008552"	(676.2830506,0.0005559773189)
"H002505"	(-413.4139744,-0.0003016925319)
"N002965"	(-274.4134785,-0.0003050083877)
"C000591"	(530.3526275,0.0003801359104)
"I015413"	(-315.7245989,-0.0002989740745)
"N015621"	(-257.1290621,-0.0003734333482)
"N002717"	(-1463.95832,-0.001173998342)
"D013654"	(-578.5350204,-0.0006060558319)
"E013073"	(537.9970069,0.0003717656585)
"G002479"	(-137.5712806,-0.0001088219101)
"E007176"	(27.52752701,0.0001265697853)
"E000870"	(-1117.823186,-0.0007309746695)
"E008322"	(-155.1070301,2.781707348e-05)
"D005555"	(237.3493743,-3.80920071e-05)
"D006759"	(484.2584503,0.0001747118013)
"I013402"	(-101.8403439,7.187176402e-05)
"A007251"	(528.9806132,0.0002238606187)
"C003793"	(9.848546641,0.0001112401443)
"D005501"	(-369.9194277,-0.0001776485498)
"K003034"	(266.1141418,0.0001350365702)
"N008212"	(22.73613156,-0.0001311613916)
"L016238"	(212.2334822,0.0001336744276)
"O007031"	(246.4934859,0.0003985669661)
"E013607"	(908.2798712,0.0002134923087)
"J011280"	(518.1328796,5.738803843e-05)
"O011020"	(-125.5357717,-4.383416941e-05)
"M000757"	(-100.4115387,-9.075015199e-05)
"M008844"	(705.4527234,0.0005772638541)
"H002042"	(-92.40365545,8.625416517e-05)
"A010091"	(-39.57964554,7.389513096e-05)
"L008898"	(-282.3517904,-0.0002912843989)
"H003523"	(-277.7141418,-0.0004855535437)
"D005077"	(-314.4329323,-0.0001287086586)
"H007587"	(771.2323443,0.000748685816)
"M006621"	(100.6472274,2.70738595e-06)
"B005234"	(447.9831449,0.0006020903571)
"F015773"	(60.99768396,6.970303814e-05)
"C008503"	(159.5765031,0.0002596872125)
"P003666"	(51.12127111,5.663063128e-05)
"N015936"	(162.0825968,0.0001097105352)
"F000321"	(-1065.457628,-0.0008883739089)
"F008137"	(106.8200508,0.00021479256)
"A016274"	(-171.0180088,-0.0001640387834)
"F007222"	(-164.071195,-2.520311265e-05)
"K015041"	(367.829959,0.0004282853125)
"P000935"	(-104.7405844,-7.619967175e-05)
"N006669"	(-130.3651933,-0.0001164096826)
"M009830"	(5.031131536,-0.0002257253325)
"A003870"	(-13.5417099,-9.828261489e-05)
"B001774"	(221.29016,0.0002886684671)
"F015630"	(-379.8766163,-0.0002849736729)
"O001403"	(523.4724561,0.0005395321808)
"F011618"	(381.0729073,0.0003718505055)
"P012231"	(1053.57116,0.0007345123886)
"I009491"	(26.09809402,0.0001263758531)
"N003574"	(-50.83180268,-7.739068174e-05)
"D006083"	(-96.57201827,-0.0001504610029)
"L008460"	(-33.92587163,0.0003055808169)
"I002766"	(96.92045851,4.702892363e-05)
"C013923"	(518.4304448,0.0003787891683)
"I001956"	(-558.7361375,-0.0001475036509)
"I005333"	(-480.479005,0.0002746333197)
"J014280"	(-1073.081531,-7.049642652e-05)
"E003560"	(-444.5396176,-2.487474208e-05)
"C002060"	(616.8108133,-0.0001016336837)
"O015105"	(-245.5056183,2.102352363e-05)
"K000020"	(961.6693581,8.301932547e-05)
"J008839"	(-931.949674,-0.0002090603438)
"K010317"	(-74.10931506,-2.05084729e-05)
"J011477"	(293.9122292,4.274099215e-05)
"O006238"	(-109.4932486,-0.0002337315178)
"E008678"	(-254.3569383,-5.668433834e-05)
"D000001"	(168.594744,3.423350451e-05)
"C010566"	(-138.2941717,-6.290438056e-05)
"M015905"	(100.6713277,-1.032471486e-05)
"F009221"	(-724.9217936,1.434356637e-05)
"J001499"	(110.2038466,0.0003282788225)
"D006363"	(-320.3686885,-0.0001100833502)
"F013736"	(392.2106861,0.0005814608555)
"D016159"	(-173.1186021,-0.0002787019909)
"N004239"	(-306.8931855,-0.0001952294951)
"C001164"	(281.0731605,0.0001555128531)
"L006877"	(-145.295803,-0.0003602057727)
"G008508"	(119.3162679,0.0001842837917)
"C016212"	(-81.38262461,-0.0001487327265)
"M010405"	(-352.0183753,-0.0004649430398)
"A008203"	(-969.0180576,-0.0007277341487)
"E006559"	(723.9024692,0.0006588077764)
"F002007"	(-492.4949407,-0.0005586792412)
"D015595"	(486.6856558,0.0002083734107)
"E008589"	(512.7089432,0.0006553246644)
"C004971"	(30.90034094,-9.50285361e-05)
"P001073"	(606.1854728,-9.535386614e-06)
"M003721"	(26.3990985,1.021964638e-05)
"F007821"	(136.8420507,0.0001069644418)
"H007220"	(640.3490205,0.0004337353913)
"N003663"	(-50.89373147,-9.263183884e-06)
"O003499"	(-171.0537979,6.32170442e-05)
"D010749"	(-626.7001213,-0.0004173185823)
"P001413"	(-827.2945427,-0.0005012372397)
"M012009"	(-309.8205595,-0.0002689463312)
"C015067"	(111.7160368,-6.102198104e-05)
"P008631"	(-265.0543558,-0.0003508785638)
"K008094"	(-118.2972907,-0.0001634636706)
"M009373"	(-424.1785725,-0.0003498763303)
"A012670"	(178.5302725,-7.148957819e-05)
"J010180"	(-843.1542417,-0.0006641096826)
"G004971"	(-25.37055976,-4.346099619e-06)
"G009091"	(-166.336076,-0.0001027500375)
"H012540"	(596.5046089,0.0002330586611)
"G008595"	(-311.5193026,-0.000271102556)
"O007936"	(272.7294525,0.0001308894089)
"L006643"	(-749.6018467,-0.0004855198081)
"L010334"	(-600.4576177,-0.0001897606049)
"G002361"	(182.054789,8.523900152e-05)
"L016060"	(-205.9454262,-0.0001309499892)
"B001367"	(-350.4969962,-0.0001429848163)
"G015023"	(-320.4204358,-0.0002297350197)
"M001924"	(0.1706153207,-1.083231666e-06)
"M003850"	(507.0505702,0.000363231578)
"P001075"	(-147.9952607,0.0001667511942)
"N002093"	(942.9907064,0.0005916054391)
"A008398"	(290.295487,0.000158519626)
"P012351"	(-497.9130365,-0.000377493137)
"L007209"	(323.7524585,0.0001469244206)
"O015995"	(-448.2407272,-0.0004773929417)
"C001545"	(396.0851927,0.0003408246673)
"F003047"	(383.215297,0.0001967919294)
"D011100"	(-53.62749879,-7.564666628e-05)
"N000328"	(-274.5888125,-0.0001693593802)
"F007734"	(-61.54877357,0.0001675941481)
"H006511"	(-478.2071507,-0.0002448673562)
"O008358"	(-343.4060523,-0.0002543297285)
"A013666"	(-233.8942196,-0.0002387156878)
"J004544"	(441.8884151,0.0005655061725)
"J016289"	(-11.34906978,2.756133598e-05)
"F012165"	(-25.13228087,-5.378803103e-05)
"P001298"	(414.5768995,0.0003568315062)
"O008579"	(687.6053903,0.0005536576157)
"K004827"	(403.147336,0.000128579751)
"G003786"	(-168.5371247,-5.611179434e-05)
"A006520"	(69.34212211,7.222045387e-05)
"A009291"	(9.621428612,-3.31373889e-06)
"P013556"	(611.8779928,0.0002061606874)
"D007257"	(182.9287998,0.0001658154934)
"P014676"	(210.7469636,0.0002215046897)
"K005687"	(409.1785414,0.0001925960489)
"D000886"	(-178.3636894,-0.000114965057)
"D008842"	(145.5392347,7.129799262e-05)
"C013746"	(587.5475001,0.0004133022101)
"I001016"	(-584.5154976,-0.0004415300511)
"P007282"	(11.97736857,-0.000107315237)
"K011774"	(-167.9194125,-6.786011856e-05)
"D008593"	(-176.9726434,-0.0001666455709)
"O009645"	(398.9093714,0.000136197695)
"O009518"	(-258.1515884,7.509034998e-05)
"P013298"	(-496.4215417,-0.0003237567235)
"K014881"	(-68.10003001,-0.0001818392417)
"Q000155"	(-43.6126246,-1.971823056e-05)
"E005062"	(154.8927215,6.526982965e-05)
"O015533"	(53.98866133,9.086094137e-05)
"B015407"	(-188.6296826,-0.0002047863011)
"M013333"	(56.94358667,2.69638178e-05)
"C004129"	(645.9819451,0.0005557760684)
"J009086"	(146.3014758,0.0001798418705)
"N002772"	(-119.6118916,5.188592717e-06)
"E010475"	(695.729577,0.0004412537867)
"M014446"	(-1168.187928,-0.0009888138915)
"O013803"	(-40.49632691,-7.619347586e-05)
"G003720"	(-623.9267247,-0.0003555144447)
"A006685"	(-356.4355679,-0.0004070931948)
"N012385"	(87.37687794,0.0002839976237)
"O000921"	(-783.3220404,-0.001080238662)
"F015992"	(-201.9909645,-0.0001903077102)
"G013998"	(-309.2376251,-0.0002380029828)
"A015566"	(-254.8430656,-0.0001421761649)
"H009767"	(-64.25835255,-9.863586789e-05)
"G010605"	(-79.13816488,-6.318821207e-05)
"C005241"	(50.26715557,-0.0002754459727)
"O001793"	(-333.6157318,-0.0004311679268)
"N013313"	(-174.0208772,-0.0001364500964)
"A008838"	(-222.4426329,-0.0003451792632)
"A006788"	(-547.1610547,-0.0004862882232)
"I011712"	(-76.78411888,6.860191883e-05)
"N011567"	(-156.9478078,-0.0003957141507)
"F001099"	(-313.294931,-0.000447214868)
"L010825"	(510.3751173,0.0004374296478)
"F003104"	(79.02577442,8.032441244e-05)
"A008355"	(248.5906643,7.723260391e-05)
"M000691"	(250.0523423,-6.479330171e-06)
"C011939"	(-727.4606607,-0.0003231841373)
"E004897"	(119.3986485,-0.0001444589939)
"C013424"	(-225.1099402,0.0001952442064)
"M009724"	(365.768883,0.000163665861)
"H005264"	(-984.4396144,-0.0003770879491)
"G008101"	(-189.7606562,-9.6129461e-05)
"N011685"	(48.6586478,-5.776284059e-05)
"Q000056"	(-237.3670883,-0.0002522716829)
"N014098"	(-383.7954124,-3.818709829e-05)
"C015376"	(248.5821187,0.0002600987163)
"Q001769"	(-279.681665,-7.729304565e-05)
"K004681"	(599.7530274,0.0002836734285)
"M001070"	(-340.9822316,-0.0001104566322)
"E014329"	(590.9569792,0.0002865103809)
"I007387"	(-265.1856205,6.96727794e-05)
"J002509"	(-435.5468931,-0.0003221888864)
"G013512"	(-705.8697184,-0.0006268262939)
"Q001511"	(515.0596841,0.0004759477781)
"K012790"	(308.7955236,0.0002592059306)
"B012019"	(398.4274023,0.0003202493024)
"I001838"	(-412.5931082,-0.0003615122077)
"C013559"	(258.6725003,0.0002278114969)
"I012250"	(533.1475588,0.0006028427748)
"G008376"	(-116.9447922,0.000137638755)
"J010181"	(476.8639673,0.0002867127109)
"B006022"	(498.8915015,0.0004014519047)
"E010398"	(51.52527952,4.380222776e-05)
"L002169"	(347.45313,0.0005178025602)
"C003059"	(-99.75811249,0.0001525522779)
"E009430"	(741.5458459,0.0007670667688)
"I003910"	(538.1578498,0.000422943651)
"B011418"	(419.8788,0.0003080880158)
"G003662"	(-870.7733511,-0.0007439022066)
"E015810"	(119.3987559,-0.0001144893449)
"E005334"	(1091.952912,0.0009558158493)
"A005470"	(-178.2362369,-6.549381013e-05)
"B005914"	(983.0859502,0.0006941873134)
"C014710"	(-783.942483,-0.0008279487979)
"D008565"	(-261.5765768,-5.919985592e-05)
"E009265"	(664.3009922,0.0006901216519)
"E012096"	(59.83702234,1.996947572e-05)
"K004770"	(-748.5393738,-0.0007100162514)
"K008024"	(-384.8535164,-0.0004327249276)
"B011567"	(270.736393,0.0002484017801)
"M014164"	(-713.5923045,-0.0005859758643)
"A003887"	(893.0742367,0.0006039964027)
"H002559"	(-113.9201657,-5.873564907e-06)
"L014325"	(-197.5737888,-7.191643271e-05)
"B009653"	(-42.41333153,-5.252420811e-05)
"E014991"	(621.7751266,0.0004146595166)
"J005976"	(369.0902394,0.0002974841777)
"G003177"	(-237.1274774,-0.0002591891193)
"D000859"	(-108.200962,-0.0001057129834)
"A009071"	(534.7466821,0.0002469829151)
"B006170"	(191.5386087,0.0002064026199)
"K004511"	(121.8862267,5.940684581e-05)
"O002876"	(441.8697879,0.0002483689375)
"D013964"	(-315.8902113,-7.980847031e-05)
"F016157"	(30.80965183,-8.260220076e-05)
"G000968"	(212.2823843,0.0001937733974)
"O010219"	(291.4369051,8.824501693e-05)
"N003031"	(407.3352077,0.0001843445023)
"C013420"	(-718.8173417,-0.0002552715559)
"H011330"	(-507.9313378,-0.0001355672265)
"O011324"	(-459.0091002,-0.0004072182636)
"C004988"	(644.3770531,0.0005449753895)
"Q001042"	(-455.1797406,-0.0002843341752)
"H007735"	(-85.37697279,-0.0001042308759)
"E015469"	(152.9697606,0.0001048065623)
"M001518"	(-291.3756667,-1.881600923e-05)
"I010227"	(143.1611204,0.0002286833563)
"L011676"	(-265.1668428,-2.805068236e-06)
"K016230"	(21.95799958,2.383508859e-05)
"J002498"	(478.7876882,0.0002993789396)
"B003942"	(-898.6524388,-0.0004643545689)
"A006286"	(177.154924,-1.095380055e-05)
"J007685"	(73.70080824,9.354058568e-06)
"B001276"	(149.4415016,9.086182172e-05)
"L000542"	(-87.58139896,-7.137445868e-05)
"P000031"	(-280.5322095,-0.000218285899)
"A014376"	(-502.024615,-0.0003658558305)
"E005096"	(-141.1045142,-1.626189939e-05)
"H015081"	(46.18761995,-4.377726149e-05)
"N000483"	(2.50529404,-9.152985646e-06)
"B013378"	(-297.0043086,-0.0001067490536)
"K012092"	(-72.37644676,-0.0001645910643)
"A000687"	(516.8603858,0.0001174013711)
"G007467"	(306.365961,0.0003391654421)
"D010233"	(419.6515529,0.0002973872115)
"H011121"	(-110.6871971,-7.649461239e-05)
"D006479"	(-471.4767157,-0.0002240852394)
"E003157"	(-344.834121,-0.0001771542896)
"B003232"	(383.899006,0.000184761101)
"B009186"	(-238.8043966,-0.0002322131414)
"K011906"	(-413.6400258,-0.0001567303461)
"O002178"	(-1.940813578,8.392051234e-05)
"N008689"	(-330.9802792,-0.0004889452621)
"E011397"	(-89.16351135,-0.0002059349732)
"F016287"	(-140.9979759,-0.0003289301804)
"E010648"	(-129.4871066,-0.0002795746407)
"P007137"	(85.7192353,8.417418371e-05)
"K008857"	(-78.29752571,-0.0001110145198)
"G009411"	(733.8565657,0.0004878011301)
"B012118"	(323.3774026,0.0002180577738)
"N001170"	(231.2683214,3.825664772e-05)
"L006254"	(-71.72931624,4.353395854e-05)
"K008293"	(-755.9931033,-0.0004950315756)
"K004262"	(-596.4266166,-0.0005770940776)
"J006194"	(231.984686,7.317160104e-05)
"P011996"	(-1144.98962,-0.0007406646628)
"C008742"	(156.1394865,6.265971746e-05)
"E006382"	(-118.7865631,-0.0001575300411)
"L015065"	(-385.7808057,-0.0002379454581)
"H008053"	(-307.8395526,-0.0002782767293)
"L010469"	(-193.5582028,-0.000347199695)
"E002683"	(-69.10931693,-0.0002845104909)
"K006155"	(-847.7656554,-0.0009141100328)
"K013155"	(-659.18125,-0.0006209498967)
"O010387"	(-114.0619145,-0.0001152794791)
"G008777"	(-771.6475568,-0.0005932092158)
"O008420"	(928.171792,0.000921218342)
"H014415"	(100.3357114,0.0002901548682)
"B000616"	(-120.334564,-0.0001030162213)
"K015597"	(-20.47993354,0.0001573496032)
"B007729"	(262.1496517,0.000244574044)
"G009051"	(251.8818362,0.0001446697121)
"B006837"	(694.1866225,0.0001421205051)
"E008953"	(-128.3653041,-2.607671278e-05)
"G007113"	(239.0325251,-8.209217433e-05)
"C015523"	(515.4930222,0.0001379852341)
"J010905"	(166.3541451,0.0001506851668)
"O006000"	(-133.0563088,-6.996649784e-05)
"H015924"	(680.346422,-0.0002602061709)
"D013302"	(345.8426692,-3.932050223e-05)
"N008249"	(234.8266395,0.0001631082948)
"F014109"	(617.0671887,0.0001252612547)
"O004903"	(-1.318442594,-0.0001009778132)
"C005783"	(241.6262408,1.980233557e-05)
"J009397"	(-324.0385543,-0.0001287426098)
"P014883"	(-436.3309894,-0.0003336848034)
"P015152"	(83.6657081,8.644711193e-05)
"D007285"	(250.6774542,-0.0001431175765)
"H013786"	(850.6948529,0.000511499363)
"N011953"	(367.0389603,0.0002389401106)
"O006337"	(266.2550526,1.735601105e-05)
"C004207"	(-249.0359323,-0.000264775285)
"O000626"	(-415.1917121,-0.0003709217315)
"C015580"	(404.879281,0.000367641046)
"C009483"	(-882.8995183,-0.0005317765455)
"P007307"	(1.225580748e-08,7.137336069e-07)
"D000214"	(-238.6085792,-3.198747239e-05)
"F014528"	(-339.995245,-0.0001549319029)
"G008676"	(-74.40605052,-4.78160224e-05)
"B012401"	(383.5332102,0.0002613842876)
"M012991"	(-118.0431402,0.0001620967593)
"F005328"	(-316.0682323,-0.0002187596015)
"A014540"	(-616.6753845,-0.0005696054625)
"G002168"	(179.1861789,0.0001094661526)
"G016310"	(547.7901022,0.0004089047626)
"L011691"	(-641.6481014,-0.0007238832653)
"G000239"	(-29.71376486,-2.681525732e-05)
"P002240"	(-181.9497275,0.0001003152096)
"A013306"	(725.0168335,0.0004947440199)
"A001741"	(345.9024462,0.0002348645187)
"O000224"	(-480.1680097,-0.0003182428362)
"C012867"	(-392.694453,-0.0002443229378)
"F004606"	(-212.9674095,-9.729568491e-05)
"L000190"	(47.47131941,1.276046783e-05)
"F002045"	(-203.6615442,-0.0001040087096)
"L012012"	(152.6574047,0.0001702978277)
"P014662"	(181.7309447,9.97953708e-05)
"E009905"	(-98.07903028,-5.129168527e-06)
"L005496"	(-7.291974727,-0.0002860168544)
"J005253"	(-473.4499107,-0.0003456729234)
"E008137"	(-182.8956766,-0.0001905984858)
"D001603"	(-572.587183,-0.0002384930389)
"F012891"	(1028.90237,0.0004601363415)
"N008694"	(1067.190347,0.0003598412733)
"E013977"	(217.1295988,4.413233072e-05)
"J012075"	(-457.2532818,-0.0001768216603)
"E004576"	(314.1526909,0.0001730395152)
"N000048"	(-449.481951,-0.0001681825723)
"C011875"	(162.8816796,-4.81924829e-05)
"H001324"	(237.0804014,0.0001181381987)
"B010862"	(-163.8954462,-0.0001563826892)
"L015948"	(-821.681046,-0.0002435528834)
"L006879"	(-1270.574865,-0.0004481676798)
"F011903"	(35.42920435,-0.0001165269124)
"Q001366"	(1342.079645,0.0005223782663)
"A003789"	(-831.1954412,-0.0004662168716)
"K008237"	(78.59204653,2.438318078e-05)
"A010836"	(-790.9163077,-0.0004172530915)
"D016207"	(-63.2300228,-3.935118878e-05)
"P009884"	(-248.7855885,3.687202015e-05)
"J000336"	(778.2691172,0.0005210412752)
"L011056"	(-662.9721623,-0.0002363843364)
"J010252"	(-862.0924063,-0.0002099596234)
"K015445"	(-353.1660325,-0.0003244454843)
"M016217"	(67.0928667,0.000206442071)
"H008075"	(7.110413346,-0.0001417720898)
"I005642"	(103.6104587,0.0001425131825)
"K004459"	(491.4243731,-5.835718583e-05)
"F003138"	(128.9689478,-2.248283796e-06)
"H004857"	(-728.377543,-0.0001451734561)
"D014100"	(151.1421893,2.589500142e-05)
"J010106"	(-345.6780085,6.790606463e-05)
"K005680"	(39.30031836,7.545743154e-05)
"P006042"	(114.172158,0.0001146969168)
"E004261"	(-199.1123815,-0.0001785616583)
"B001531"	(291.1418346,0.00027591959)
"G008898"	(-42.58066458,-3.247589681e-06)
"H002636"	(582.6342059,0.0001243250672)
"J016116"	(445.1806831,0.0002594184942)
"M012903"	(-577.4843714,-0.0005791034043)
"M005710"	(287.5471637,0.0001449386344)
"L001996"	(-56.03798384,-0.0001499629916)
"F015565"	(-306.6653639,-0.0004309123487)
"P009487"	(127.3030218,0.0001961102843)
"J013166"	(-269.8097564,-0.0003184146911)
"N016163"	(137.0033829,0.0001047215441)
"K011498"	(849.4386957,0.0006564439797)
"O008947"	(219.4217532,0.000149319901)
"O004378"	(347.3366043,0.0001899231377)
"J010126"	(-343.6756604,5.880603277e-05)
"D001775"	(20.71311924,-0.0001107856947)
"F014976"	(326.906756,8.111466818e-05)
"F006267"	(773.6920905,0.0003144530286)
"E011424"	(-317.7338645,-0.0001756699879)
"N003498"	(315.2505423,0.0003635719923)
"O003524"	(-201.8954584,2.901652364e-05)
"M004816"	(-342.3362677,-3.764745911e-05)
"M012759"	(255.2611552,0.000299817871)
"J005210"	(-105.3947212,5.696149185e-05)
"J008166"	(-40.72331948,-1.526459319e-05)
"N012701"	(-787.6434159,-0.0004783501202)
"O009065"	(-1176.92366,-0.0004994482015)
"E000657"	(-325.357704,-0.0004514536949)
"I003660"	(227.4116841,4.898468061e-05)
"I003352"	(47.9461571,6.883399698e-05)
"N000466"	(178.9045622,0.0001914966446)
"J011426"	(583.058483,0.0008193199769)
"E000526"	(-658.0014736,-0.0007406110331)
"I010831"	(554.4159591,0.0006120552826)
"J008345"	(569.8335343,0.0008164481188)
"J011848"	(-522.0154457,-0.0004646386243)
"C002731"	(-1335.642584,-0.001819609881)
"F008784"	(-332.2615197,-0.000369745828)
"D015781"	(-125.0560814,-3.309553346e-05)
"N011247"	(-76.63970505,-0.0002612062431)
"L004057"	(512.109751,0.0006951990139)
"P005113"	(17.45431656,-7.501520104e-05)
"C005953"	(-114.0422698,1.818954699e-05)
"B012078"	(-513.4183839,-0.0007173149846)
"G014615"	(164.8426025,0.0002103314029)
"A004324"	(-61.72232314,-0.0002030063708)
"N012717"	(231.9880832,0.0002150229034)
"F004913"	(-160.8512313,-8.605848236e-05)
"H013155"	(-115.1875726,-9.6884329e-05)
"I010749"	(-30.98321989,8.01226371e-05)
"G002510"	(-125.1295017,-6.930467647e-05)
"F006408"	(68.59841335,0.0002876919105)
"A009072"	(-63.40301772,-0.0002792001931)
"A005117"	(344.8670684,0.0002575781236)
"A009452"	(443.5136021,0.0004806616882)
"H010180"	(342.592295,0.0004863427176)
"O004290"	(149.3500236,0.000240838031)
"B003026"	(-145.444967,-0.0002033775254)
"E016073"	(632.6279887,0.0004224447946)
"O004913"	(88.2174917,7.48554399e-05)
"C003860"	(-273.2147048,-0.0003080696942)
"E015666"	(-360.4035337,-0.0003197086406)
"C013414"	(-1047.379826,-0.0007875008914)
"M008124"	(-153.0717372,-0.0001320856952)
"J013190"	(30.00926792,0.0002177892108)
"A009165"	(287.2426255,0.0001038549615)
"P004223"	(-107.7792825,-0.0001379483865)
"E000689"	(24.12160626,9.062203813e-05)
"I012434"	(-84.17074155,-0.0001878378127)
"I010609"	(518.3995924,0.0003118235962)
"G010949"	(181.4603538,-2.371574412e-05)
"I010073"	(34.15900368,2.293746987e-05)
"I002579"	(622.1832913,0.0004927113108)
"H012226"	(676.727785,0.0004581953843)
"Q001168"	(-89.89570947,9.498143542e-06)
"H014653"	(499.0191268,0.0002259158106)
"M016061"	(517.3161058,0.0002981669586)
"K004311"	(-302.7437041,-0.0002896986144)
"J004116"	(114.685499,0.0002834722695)
"A002830"	(-15.03302897,8.234027473e-05)
"I015161"	(345.4163784,8.36109271e-05)
"A014760"	(-460.8391974,-0.000173607326)
"B002704"	(183.846946,0.0002179481934)
"L009825"	(273.6053582,0.0002233643754)
"F003093"	(-241.899065,-0.0001488212455)
"N001810"	(-484.6904786,-0.0002384523993)
"M001881"	(-340.3867208,-0.0002153607873)
"B008111"	(685.5202035,0.0006803101067)
"F001253"	(-37.27882166,7.503510889e-05)
"N000758"	(-428.2554487,-0.0003464588937)
"O006066"	(-570.8271212,-0.0003373061121)
"N013734"	(-543.5424203,-0.0004217081112)
"L005542"	(-154.6012039,-9.987661833e-05)
"P013404"	(305.8047444,-2.858519403e-06)
"G004536"	(-601.540719,-0.0005538970135)
"N014708"	(212.8096599,-2.593528731e-05)
"D015658"	(-973.5194316,-0.0006294205689)
"B015167"	(820.2464161,0.0003991128328)
"N014504"	(-682.1022611,-0.000469519201)
"G005947"	(63.49360412,0.0001212085184)
"J013680"	(368.3175203,0.000315200199)
"C012201"	(213.1229074,0.0002875403766)
"H013518"	(920.2320908,0.0007351240195)
"O004057"	(-377.6790408,-0.0003245078352)
"P013037"	(82.55748822,-3.944601828e-05)
"J003786"	(453.6354342,0.000324025103)
"A009971"	(-935.4003783,-0.0007126474979)
"D009726"	(381.9800995,0.0002575286351)
"F012842"	(-279.7641951,-0.0002264557988)
"H000938"	(-707.9365877,-0.000307623755)
"E015592"	(111.0715549,0.0001821081725)
"E007732"	(255.0982084,0.0002470537117)
"L014741"	(694.1795513,0.0004596059323)
"A000957"	(295.8278522,0.0002629809707)
"F005330"	(212.6173554,0.0003228707591)
"F003621"	(229.377761,0.0002697806614)
"N008108"	(38.64441381,0.000104031228)
"J013839"	(-350.1855727,-0.0002667062734)
"J006301"	(432.0775564,0.0001509537117)
"A013783"	(-105.3049691,-0.0001301687157)
"J011441"	(1000.542813,0.0006320326998)
"A014164"	(631.0720793,0.0004457652246)
"C005279"	(96.36123866,0.0001517695114)
"O007643"	(-1021.446047,-0.0006341883351)
"N001433"	(-233.8621537,-9.116881259e-05)
"M003395"	(-422.5088147,-0.0001079738688)
"K004086"	(182.2833848,8.240653298e-05)
"O001189"	(-306.5678023,-0.0001246633749)
"G005565"	(-31.48364471,-6.620600794e-05)
"M015141"	(-664.2263181,-0.0005625696499)
"K001422"	(-295.0413856,-0.0002837368709)
"D009207"	(-805.8102021,-0.000414278816)
"E002009"	(-50.47770704,0.0001747805463)
"P011202"	(-511.0463404,-0.0001969028799)
"N012922"	(257.5036711,0.0002021019315)
"N004645"	(-57.25581263,-1.358833941e-05)
"O004316"	(166.6746799,-0.0001534708737)
"J011156"	(140.5513227,3.56187499e-05)
"I015342"	(490.9180835,0.0002862086473)
"E015535"	(933.6267745,0.0006837492727)
"M003770"	(65.41501315,0.0002383247373)
"A011882"	(-577.619199,-0.000534907274)
"G013113"	(-0.1375179569,-1.589427439e-05)
"E005053"	(67.13074087,0.0001164572091)
"F013311"	(251.9340115,0.0002463836379)
"G011474"	(37.7646485,-0.0002356244951)
"K009547"	(-424.2307745,-0.0003705023508)
"I006059"	(612.1363191,0.000571038136)
"D001534"	(-120.8081792,-0.000133725343)
"I007969"	(559.4269342,0.0005737462354)
"C011506"	(-431.4224323,-0.0003620240545)
"O014277"	(434.4340086,0.000251428553)
"L012756"	(119.4686271,0.0001259745079)
"O013504"	(-379.0708992,-6.785110379e-05)
"O013747"	(266.1382026,0.0003233452245)
"B013750"	(40.37587522,6.458490215e-06)
"M002511"	(-176.5930586,-0.0002272361779)
"D009734"	(352.5687377,0.0003067204163)
"F004030"	(950.333662,0.0006551899336)
"H010512"	(106.3073083,7.569246732e-05)
"I000691"	(724.8774166,0.0003793732298)
"C003804"	(39.27613437,-0.0001547485519)
"O014009"	(438.0239351,0.000310951955)
"E010700"	(362.2267855,0.0003481714538)
"B013732"	(-169.353065,0.0001495948897)
"I000590"	(156.893821,-4.91885854e-05)
"G002059"	(-561.7091376,-0.0006138005553)
"M015061"	(955.6962953,0.0006361189051)
"A011931"	(-185.4125453,-1.125701893e-05)
"H005543"	(359.6488567,0.0002186510109)
"B000640"	(-64.85513953,4.469014876e-05)
"L004923"	(-104.9027803,-0.0001900016331)
"P008155"	(172.1733279,4.273282086e-05)
"N012040"	(-452.0916462,7.147834909e-05)
"O000017"	(-904.827124,-9.445988629e-05)
"D007498"	(-287.0652522,-5.159393527e-05)
"H001062"	(-725.6639912,-0.0001764348033)
"N004867"	(65.75360085,-9.310621725e-05)
"B013191"	(104.3579717,0.0002391334906)
"L003366"	(-770.147979,-0.0001574772582)
"K008992"	(-281.4795269,0.0001245990664)
"I014272"	(292.0952619,0.0001921036931)
"A011483"	(262.8584605,3.09334909e-05)
"O006130"	(194.1545834,-4.57282705e-05)
"B002311"	(116.6770348,0.0002289566133)
"J011768"	(-33.0347957,-0.0001002088003)
"N005391"	(774.5517365,0.0003872914733)
"C010813"	(147.3911903,3.517262723e-05)
"J015860"	(-738.7456925,-0.0001037400798)
"P001430"	(-47.52659566,-9.861388426e-05)
"H002585"	(-376.4061807,-0.0001024886233)
"K006074"	(213.688912,0.0001429044187)
"B003838"	(-109.054716,-4.785174358e-05)
"L003770"	(438.7011179,0.0002449809219)
"K013719"	(-729.571822,-0.0005213003823)
"N002027"	(-38.96473821,-7.583881966e-05)
"L002927"	(74.77373043,8.477965763e-05)
"E005921"	(-175.0193973,-0.0003158024789)
"Q000614"	(-213.7283406,-0.0001324834876)
"F009500"	(234.5936247,0.0003083549647)
"F012344"	(-1178.798419,-0.0007857047624)
"G004837"	(-361.4971542,-0.0002931334086)
"O004663"	(524.7664041,0.0005538017575)
"N006182"	(391.9301824,0.0004293987337)
"B009413"	(-297.0740194,-0.0002668370216)
